full_name,email,phone,company,job_title,city,state,zip,notes
Ashley Harris,  ashley.harris78@outlook.com  ,(654)881-2259,Harbor Dental ,Director, Miami,ga,46528-1234,new lead
megan clark,megan.clark50@gmail.com ,(942)672-4977,  Blue Peak Media  ,Analyst,ATLANTA,GA,,
rachel harris,RACHEL.HARRIS97@COMPANYMAIL.COM,,  Pine Street Auto  ,Coordinator, Austin,ga,00000, contacted  
RACHEL HARRIS,RACHEL.HARRIS97@COMPANYMAIL.COM,,  Pine Street Auto  ,Coordinator, Austin,ga,00000, contacted  
 David Robinson, david.robinson92@yahoo.com,, Pine Street Auto,Director,COLUMBUS,MD,88265-1234,new lead
 Ashley Clark,ashley.clark69@yahoo.com,N/A,harbor dental,Manager,raleigh,fl,15992-1234,VIP
John Moore ,john.moore16@yahoo.com,(826)392-9047,Bright Path Labs,Manager,Columbus,fl,32630,n/a
John Martinez ,john.martinez15@outlook.com ,, Blue Peak Media,Owner, Raleigh, FL ,69303,DUPLICATE
Unknown,none,,N/A,,Austin,TX,,
 Ryan Martinez, ryan.martinez59@outlook.com,(582) 114-6279, Blue Peak Media,Director,Columbus, TX ,38560, n/a 
 Brittany Taylor,brittany.taylor1@companymail.com,(913)848-8973,SUMMIT ROOFING,Director,BALTIMORE,PA,85914,VIP
CHRIS WHITE,CHRIS.WHITE78@EXAMPLE.COM,,Bright Path Labs ,,Columbus , TX ,,
 Ryan Smith,ryan.smith92@outlook.com,(806) 807-4978,Greenline Supply ,,Atlanta,fl,,new lead
 Rachel Lewis,  rachel.lewis32@outlook.com  ,(997)535-4585,  Pine Street Auto  ,Coordinator, Miami,TX,83060,
CHRIS BROWN,chris.brown26@outlook.com ,, Greenline Supply,,charleston, FL ,00000,new lead
  ,N/A,N/A,N/A,,Austin,,,missing data
Rachel Harris,rachel.harris61@gmail.com,, Blue Peak Media,Analyst, Columbus,md,99486-1234,VIP
,N/A,,Unknown Co,,Austin,TX,00000,
Sarah Brown ,sarah.brown30@example.com,(628)648-8779, Harbor Dental,Director,Columbus,fl,75811-1234,new lead
  SARAH MARTIN  ,  sarah.martin59@yahoo.com  ,,north ridge llc,,Austin,de,00000,
mike thompson,  mike.thompson34@outlook.com  ,, Iron Oak Logistics,Director,Atlanta,OH,70068,new lead
John Davis,JOHN.DAVIS38@COMPANYMAIL.COM,(664) 103-5315,  Cedar Creek Realty  ,Director,  Raleigh  , SC ,36071-1234,Needs follow-up
Kevin Robinson ,KEVIN.ROBINSON22@YAHOO.COM,(787)790-2889,  Harbor Dental  ,Coordinator,Baltimore,TX,11610,
mike moore,  mike.moore58@example.com  ,N/A,Bright Path Labs,Analyst, Austin, GA ,49691,Needs follow-up
  Sarah Garcia  ,sarah.garcia38@example.com ,N/A, Blue Peak Media,Manager,Philadelphia , TX ,,DUPLICATE
 John Lee,  john.lee50@gmail.com  ,(419) 310-5560,Pine Street Auto ,Manager,austin,ga,35830,Needs follow-up
Nicole Martinez,nicole.martinez55@gmail.com,(404)199-1421,ATLANTIC HOME GROUP,Sales Rep,baltimore,SC,,n/a
RACHEL WILSON,RACHEL.WILSON12@GMAIL.COM,(340)491-3181,Bright Path Labs,Coordinator,Richmond ,DE,95199-1234,
,N/A,,N/A,,,md,,bad row
  James Thomas  ,james.thomas80@example.com ,(629) 215-7790,Cedar Creek Realty ,,Austin,md,00000,DUPLICATE
rachel jackson, rachel.jackson22@example.com,(647)964-2734, Blue Peak Media,Coordinator, Miami, MD ,,VIP
,,,,,Baltimore,TX,,missing data
 Sarah Anderson,SARAH.ANDERSON18@COMPANYMAIL.COM,(485) 573-5092,  Pine Street Auto  ,Coordinator,Dover,OH,00000,
sarah davis,  sarah.davis78@outlook.com  ,(551) 308-5325,Cedar Creek Realty,Sales Rep, Philadelphia,nc,,n/a
LAURA JACKSON,  laura.jackson18@yahoo.com  ,(653) 892-6257,GREENLINE SUPPLY,Analyst,AUSTIN,va,,n/a
KEVIN HARRIS,  kevin.harris86@yahoo.com  ,(823)750-3803,ATLANTIC HOME GROUP,Analyst, Charleston,sc,83000-1234,VIP
John Harris ,john.harris40@gmail.com ,(938)152-8871,Harbor Dental ,Sales Rep,  Richmond  , FL ,29369-1234,new lead
john moore, john.moore16@yahoo.com,,Bright Path Labs,Manager,Columbus,fl,32630,n/a
  Jane Wilson  , jane.wilson9@companymail.com,(807)211-8405,Summit Roofing ,Owner,  Columbus  , VA ,00000,VIP
james harris,  james.harris39@outlook.com  ,(926) 817-3852,BLUE PEAK MEDIA,,COLUMBUS,OH,,duplicate possible
  Jane Davis  ,jane.davis22@outlook.com ,N/A,NORTH RIDGE LLC,, Charleston, VA ,00000,
  Rachel Lee  ,rachel.lee77@example.com,N/A,Bright Path Labs,Coordinator,richmond,VA,64600-1234,
laura martin,  laura.martin57@gmail.com  ,(240) 542-6280,GREENLINE SUPPLY,Sales Rep,Columbus , OH ,,duplicate
john lewis,john.lewis30@example.com,(424) 751-4115,  North Ridge LLC  ,Sales Rep,Atlanta,tx,,VIP
David Martinez ,DAVID.MARTINEZ37@GMAIL.COM,(383)409-1231,greenline supply,Owner,Atlanta, OH ,00000,new lead
Matt Garcia ,MATT.GARCIA49@COMPANYMAIL.COM,(287)890-5839,  Bright Path Labs  ,Owner,Dover,sc,59807-1234,VIP
  john thomas  ,  john.thomas33@gmail.com  ,(648)850-7875, Pine Street Auto,Analyst, Dover,va,81568,n/a
Brittany Wilson,brittany.wilson11@gmail.com,N/A,Bright Path Labs,,austin,GA,49472, contacted  
  ,N/A,N/A,,,,TX,00000,missing data
  Emily Johnson  ,emily.johnson38@gmail.com,N/A,SUMMIT ROOFING,,Austin ,pa,45761,Needs follow-up
NICOLE MARTINEZ,  nicole.martinez55@gmail.com  ,(404)199-1421,ATLANTIC HOME GROUP,Sales Rep,baltimore,SC,,n/a
  Rachel Wilson  , rachel.wilson12@gmail.com,(340)491-3181,Bright Path Labs,Coordinator,Richmond ,DE,95199-1234,duplicate
Ashley Harris ,ashley.harris83@companymail.com,(300)364-4637, Atlantic Home Group,Director, Atlanta,md,87147-1234,Needs follow-up
Nicole Lewis , nicole.lewis8@gmail.com,,Atlantic Home Group ,Director,Philadelphia,fl,, contacted  
  Nicole White  ,  nicole.white60@yahoo.com  ,N/A,Iron Oak Logistics,Owner,DOVER, VA ,00000,Needs follow-up
 Daniel Robinson,daniel.robinson90@companymail.com,(855) 649-9808,greenline supply,Owner,Columbus ,FL,,
